Game_ID,Team_ID,GAME_DATE,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Home_Flag,Vs_Team_ID,Win_Flag,Season_ID
0021301217,1610612737,2014-04-16,240,41,76,0.539,8,24,0.333,21,26,0.808,4,26,30,29,13,2,12,18,111,0,1610612749,1,201314
0021301207,1610612737,2014-04-14,240,34,79,0.43,8,30,0.267,17,23,0.739,5,34,39,27,6,3,6,21,93,1,1610612766,0,201314
0021301192,1610612737,2014-04-12,240,36,78,0.462,10,22,0.455,16,19,0.842,5,33,38,24,13,2,12,22,98,1,1610612748,1,201314
0021301179,1610612737,2014-04-11,240,36,79,0.456,1,19,0.053,20,21,0.952,9,35,44,17,5,9,12,20,93,0,1610612751,1,201314
0021301166,1610612737,2014-04-09,240,40,76,0.526,9,23,0.391,16,22,0.727,8,35,43,30,7,5,14,14,105,1,1610612738,1,201314
0021300677,1610612737,2014-04-08,240,34,89,0.382,9,35,0.257,18,24,0.75,17,31,48,26,9,5,16,23,95,1,1610612765,0,201314
0021301152,1610612737,2014-04-06,240,41,73,0.562,12,27,0.444,13,17,0.765,5,35,40,22,4,3,15,26,107,0,1610612754,1,201314
0021301132,1610612737,2014-04-04,240,48,82,0.585,13,29,0.448,8,10,0.8,2,36,38,35,1,3,16,17,117,1,1610612739,1,201314
0021301120,1610612737,2014-04-02,240,32,72,0.444,8,24,0.333,20,26,0.769,9,29,38,24,7,3,16,17,92,1,1610612741,0,201314
0021301103,1610612737,2014-03-31,240,36,84,0.429,7,31,0.226,24,30,0.8,13,36,49,25,10,0,16,17,103,1,1610612755,1,201314
0021301089,1610612737,2014-03-29,240,34,80,0.425,9,31,0.29,20,28,0.714,10,30,40,20,6,2,12,22,97,0,1610612764,0,201314
0021301071,1610612737,2014-03-27,240,34,84,0.405,4,22,0.182,13,17,0.765,10,29,39,17,6,1,10,19,85,1,1610612757,0,201314
0021301065,1610612737,2014-03-26,240,31,82,0.378,7,28,0.25,14,16,0.875,6,34,40,21,9,2,25,16,83,0,1610612750,0,201314
0021301048,1610612737,2014-03-24,240,30,72,0.417,8,23,0.348,27,33,0.818,7,25,32,18,8,3,17,19,95,1,1610612756,0,201314
0021301040,1610612737,2014-03-23,240,33,76,0.434,5,20,0.25,15,20,0.75,8,30,38,17,13,2,16,19,86,0,1610612761,0,201314
0021301025,1610612737,2014-03-21,240,38,85,0.447,8,28,0.286,21,27,0.778,8,26,34,22,7,3,16,29,105,1,1610612740,0,201314
0021301004,1610612737,2014-03-18,265,40,94,0.426,11,34,0.324,27,31,0.871,10,30,40,24,9,0,7,24,118,1,1610612761,1,201314
0021300996,1610612737,2014-03-17,240,39,85,0.459,13,34,0.382,6,7,0.857,10,41,51,27,3,9,13,20,97,0,1610612766,1,201314
0021300983,1610612737,2014-03-15,240,33,81,0.407,14,32,0.438,17,29,0.586,6,32,38,25,12,5,13,17,97,1,1610612743,1,201314
0021300969,1610612737,2014-03-13,240,36,74,0.486,13,29,0.448,17,20,0.85,7,34,41,23,3,6,17,22,102,1,1610612749,1,201314
0021300948,1610612737,2014-03-10,240,38,78,0.487,13,29,0.448,23,27,0.852,7,27,34,30,5,6,12,18,112,0,1610612762,1,201314
0021300933,1610612737,2014-03-08,240,38,76,0.5,12,28,0.429,20,26,0.769,8,21,29,29,13,1,15,20,108,0,1610612746,0,201314
0021300927,1610612737,2014-03-07,240,39,86,0.453,8,34,0.235,11,13,0.846,10,26,36,26,7,1,17,22,97,0,1610612744,0,201314
0021300913,1610612737,2014-03-05,240,29,88,0.33,4,27,0.148,16,19,0.842,8,29,37,20,4,2,8,17,78,0,1610612757,0,201314
0021300889,1610612737,2014-03-02,240,44,84,0.524,14,31,0.452,18,26,0.692,7,26,33,24,11,6,12,20,120,0,1610612756,0,201314
0021300854,1610612737,2014-02-26,240,38,76,0.5,9,19,0.474,19,24,0.792,6,23,29,23,6,6,18,25,104,0,1610612738,0,201314
0021300849,1610612737,2014-02-25,240,38,84,0.452,14,33,0.424,13,16,0.813,11,31,42,21,7,2,16,22,103,1,1610612741,0,201314
0021300827,1610612737,2014-02-22,240,32,74,0.432,16,31,0.516,27,33,0.818,7,33,40,19,2,4,10,18,107,1,1610612752,1,201314
0021300819,1610612737,2014-02-21,240,40,88,0.455,13,31,0.419,14,20,0.7,12,29,41,25,7,4,10,22,107,0,1610612765,0,201314
0021300804,1610612737,2014-02-19,240,33,73,0.452,6,16,0.375,25,30,0.833,5,33,38,20,5,1,16,11,97,1,1610612764,0,201314
0021300792,1610612737,2014-02-18,240,37,77,0.481,12,26,0.462,12,19,0.632,12,32,44,26,9,3,22,22,98,0,1610612754,0,201314
0021300779,1610612737,2014-02-12,240,30,78,0.385,4,20,0.2,19,23,0.826,8,37,45,24,5,0,15,21,83,0,1610612761,0,201314
0021300772,1610612737,2014-02-11,240,35,80,0.438,10,23,0.435,5,9,0.556,5,23,28,21,9,6,10,16,85,0,1610612741,0,201314
0021300750,1610612737,2014-02-08,240,30,70,0.429,8,20,0.4,8,15,0.533,7,35,42,21,10,3,21,10,76,1,1610612763,0,201314
0021300731,1610612737,2014-02-05,240,38,84,0.452,14,30,0.467,10,14,0.714,7,31,38,29,7,7,9,16,100,0,1610612740,0,201314
0021300721,1610612737,2014-02-04,240,33,76,0.434,7,25,0.28,12,15,0.8,7,31,38,26,8,4,18,19,85,1,1610612754,0,201314
0021300699,1610612737,2014-02-01,240,43,92,0.467,9,23,0.391,25,30,0.833,15,33,48,30,12,4,13,27,120,1,1610612750,1,201314
0021300690,1610612737,2014-01-31,240,45,89,0.506,8,16,0.5,27,34,0.794,9,37,46,36,15,4,18,22,125,0,1610612755,1,201314
0021300666,1610612737,2014-01-27,240,43,88,0.489,12,25,0.48,11,12,0.917,15,25,40,25,8,2,15,17,109,0,1610612760,0,201314
0021300650,1610612737,2014-01-25,240,40,76,0.526,13,26,0.5,19,25,0.76,4,31,35,26,10,2,13,19,112,0,1610612749,1,201314
0021300635,1610612737,2014-01-24,240,29,76,0.382,2,13,0.154,19,27,0.704,9,27,36,18,13,6,17,17,79,1,1610612759,0,201314
0021300623,1610612737,2014-01-22,240,41,83,0.494,9,25,0.36,21,24,0.875,8,34,42,26,11,7,17,13,112,0,1610612753,1,201314
0021300612,1610612737,2014-01-20,240,42,81,0.519,12,31,0.387,25,27,0.926,7,31,38,33,8,1,13,26,121,1,1610612748,1,201314
0021300579,1610612737,2014-01-16,240,40,81,0.494,8,25,0.32,22,22,1.0,7,21,28,26,10,7,15,12,110,1,1610612751,0,201314
0021300553,1610612737,2014-01-12,240,38,80,0.475,9,27,0.333,16,24,0.667,9,29,38,25,9,2,15,16,101,0,1610612763,0,201314
0021300533,1610612737,2014-01-10,240,32,86,0.372,9,32,0.281,10,11,0.909,13,27,40,25,9,5,12,17,83,1,1610612745,1,201314
0021300522,1610612737,2014-01-08,240,34,75,0.453,10,23,0.435,19,22,0.864,6,28,34,27,8,3,10,14,97,1,1610612754,1,201314
0021300506,1610612737,2014-01-06,240,27,70,0.386,8,24,0.333,24,26,0.923,10,29,39,21,5,4,18,23,86,0,1610612751,0,201314
0021300492,1610612737,2014-01-04,240,32,86,0.372,8,28,0.286,12,14,0.857,17,26,43,21,9,8,15,20,84,0,1610612741,0,201314
0021300483,1610612737,2014-01-03,240,37,80,0.463,10,31,0.323,16,19,0.842,7,34,41,23,15,4,19,19,100,1,1610612744,0,201314
0021300460,1610612737,2013-12-31,240,33,91,0.363,5,29,0.172,21,25,0.84,15,36,51,21,7,4,14,15,92,0,1610612738,1,201314
0021300449,1610612737,2013-12-29,240,36,81,0.444,15,39,0.385,15,21,0.714,7,29,36,20,9,3,13,23,102,0,1610612753,0,201314
0021300440,1610612737,2013-12-28,265,37,91,0.407,16,39,0.41,28,34,0.824,6,46,52,29,8,6,12,16,118,1,1610612766,1,201314
0021300423,1610612737,2013-12-26,290,51,103,0.495,11,34,0.324,14,19,0.737,10,32,42,33,13,5,21,24,127,0,1610612739,1,201314
0021300411,1610612737,2013-12-23,265,44,91,0.484,17,34,0.5,14,19,0.737,13,33,46,29,7,4,18,26,119,0,1610612748,0,201314
0021300384,1610612737,2013-12-20,240,45,86,0.523,10,26,0.385,18,24,0.75,10,36,46,32,10,7,10,20,118,1,1610612762,1,201314
0021300372,1610612737,2013-12-18,240,47,81,0.58,15,25,0.6,15,18,0.833,9,35,44,38,7,6,16,21,124,1,1610612758,1,201314
0021300357,1610612737,2013-12-16,240,45,92,0.489,11,27,0.407,13,15,0.867,15,29,44,34,10,6,10,18,114,1,1610612747,1,201314
0021300345,1610612737,2013-12-14,240,40,66,0.606,15,32,0.469,11,11,1.0,6,28,34,22,6,1,27,24,106,0,1610612752,0,201314
